"tt0000001"|"Carmencita"|5.70|1894|10-MAR-1894|"1 min"|"Performing on what looks like a small wooden stage, wearing a dress with a hoop skirt and white high-heeled pumps, Carmencita does a dance with kicks and twirls, a smile always on her face."|"United States"|"https://m.media-amazon.com/images/M/MV5BZmUzOWFiNDAtNGRmZi00NTIxLWJiMTUtYzhkZGRlNzg1ZjFmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg"|
"tt0000002"|"Le clown et ses chiens"|6.00|1892|28-OCT-1892|"5 min"|"Short film of 300 individually painted images."|"France"|"https://m.media-amazon.com/images/M/MV5BZDI4ZDgwMWQtMjA3ZS00NmU5LTk5MGQtZTMyMGFlMjYyZmFlXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg"|
"tt0000003"|"Pauvre Pierrot"|6.50|1892|28-OCT-1892|"4 min"|"One night, Arlequin come to see his lover Colombine. But then Pierrot knocks at the door and Colombine and Arlequin hide. Pierrot starts singing but Arlequin scares him and the poor man goes away."|"France"|"https://m.media-amazon.com/images/M/MV5BYWZiY2U3MjgtMzYzNS00OGUzLWI3OTQtNjkyMmZiZjEzNDc2XkEyXkFqcGdeQXVyOTUzMjk0NDE@._V1_SX300.jpg"|
"tt0000004"|"Un bon bock"|6.10|1892|28-OCT-1892|"12 min"|"A wanderer comes into a cabaret in the countryside and asks for a glass of beer to a waitress. It is visible that she appeals to him. When the waitress comes back with the beer, the wanderer begins to court her. Meanwhile the kitchen"|"France"|"https://m.media-amazon.com/images/M/MV5BOGI5NjI1NjMtMjg4Mi00YTQyLThkYjgtNTI1YjlhNzZkOTZmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg"|
"tt0000005"|"Blacksmith Scene"|6.10|1893|09-MAY-1893|"1 min"|"Three men hammer on an anvil and pass a bottle of beer around."|"United States"|"https://m.media-amazon.com/images/M/MV5BNDg0ZDg0YWYtYzMwYi00ZjVlLWI5YzUtNzBkNjlhZWM5ODk5XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg"|
"tt0000006"|"Chinese Opium Den"|5.30|1894|17-OCT-1894|"1 min"|"N/A"|"United States"|"https://m.media-amazon.com/images/M/MV5BZjNlZTI1NjYtNjVkZi00MDBlLThjMDQtY2Q2NDZiZjllYmE3XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg"|
"tt0000007"|"Corbett and Courtney Before the Kinetograph"|5.40|1894|17-NOV-1894|"1 min"|"James J. Corbett and Peter Courtney meet in a boxing exhibition."|"United States"|"https://m.media-amazon.com/images/M/MV5BODA4ZTI3NWYtNzAyYi00Yjc5LTk0NDUtZWIzNzQzYzdkODgyXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg"|
"tt0000008"|"Edison Kinetoscopic Record of a Sneeze"|5.50|1894|09-JAN-1894|"1 min"|"A man (Thomas Edison's assistant) takes a pinch of snuff and sneezes. This is one of the earliest Thomas Edison films and was the first motion picture to be copyrighted in the United States."|"United States"|"https://m.media-amazon.com/images/M/MV5BNGQ5MjZjYzgtYjJhMC00NDIzLTk0NjgtNmRjZDc1ZGM5MmM5XkEyXkFqcGdeQXVyOTUzMjk0NDE@._V1_SX300.jpg"|
"tt0000009"|"Miss Jerry"|5.80|1894|09-OCT-1894|"40 min"|"The adventures of a female reporter in the 1890s."|"United States"|"https://m.media-amazon.com/images/M/MV5BNjA5Y2ZhYzctNDc1Yy00OGViLWI3NGUtOTYwZmE3NDFiYmIxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg"|
"tt0000010"|"La sortie de l'usine Lumière à Lyon"|6.90|1895|22-MAR-1895|"1 min"|"Workers leaving the Lumière factory for lunch in Lyon, France in 1895; a place of great photographic innovation and one of the birth places of cinema."|"France"|"https://m.media-amazon.com/images/M/MV5BY2EwNzY0YmItOWM2MS00MmQyLWEzYmUtYmQ4ZDNlYjg1OGY0XkEyXkFqcGdeQXVyOTUzMjk0NDE@._V1_SX300.jpg"|
"tt0000011"|"Akrobatisches Potpourri"|5.20|1895|01-NOV-1895|"1 min"|"Eight circus performers known as the Grunato family perform their famous balancing act."|"Germany"|"https://m.media-amazon.com/images/M/MV5BNDhhMDVhMjUtYjA3MS00NjVhLWI3MTYtZjM5NjMyNDdjNjI0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg"|
